chrom1	start1	stop1	chrom2	start2	stop2	pair_name	Z	strand1	strand2	CA	CB	IAB
chr1	9070077	9070377	chr1	9161597	9161998	119_121	3.56853872159199	.	.	22	38	11
chr1	33399109	33399580	chr1	33472896	33473132	624_626	2.96495534866551	.	.	38	8	5
chr10	120183442	120183650	chr10	120219172	120219445	4272_4273	2.16689086564101	.	.	13	19	3
chr9	33403433	33403622	chr9	33466643	33466934	28775_28779	2.93417411277434	.	.	25	40	9
chr4	82327572	82327718	chr4	82765776	82766279	21332_21336	2.88416992254615	.	.	40	70	9
chr11	47955862	47956393	chr11	48131363	48131755	4969_4973	3.71969802258679	.	.	51	69	21
chr4	143048082	143048416	chr4	143274226	143274598	21801_21803	2.16311707296887	.	.	22	19	3
chr4	143048082	143048416	chr4	143761698	143761933	21801_21805	2.07342264106225	.	.	22	16	2
chr1	91044809	91045231	chr1	91744387	91744562	1292_1300	3.51909273701034	.	.	13	13	3
chr19	6048781	6049288	chr19	6125453	6126018	13649_13650	3.29338221810951	.	.	50	77	21
chr3	114009726	114010117	chr3	114137465	114137878	19760_19765	2.12000329080928	.	.	46	37	7
chr12	7868964	7869440	chr12	7959290	7959857	6165_6166	3.68024514839981	.	.	14	63	12
chr10	56851410	56851806	chr10	57023805	57024048	3475_3476	3.96640886878941	.	.	25	12	7
chr1	160696549	160697302	chr1	160738047	160738414	1955_1956	2.89116414906993	.	.	64	45	15
chr2	159757650	159758122	chr2	159975035	159975474	16063_16066	2.84014226125512	.	.	42	34	8
chr14	20795485	20795828	chr14	21077391	21078231	8439_8444	3.35059271246836	.	.	41	100	16
chr18	55626554	55626864	chr18	55789041	55789434	13305_13309	2.07615790164526	.	.	19	55	5
chr11	8027897	8028270	chr11	8120758	8121217	4530_4534	2.87072283976098	.	.	35	33	9
chr10	101320283	101320703	chr10	101371750	101372300	4034_4035	2.73733184380342	.	.	26	37	8
chr1	65701483	65702020	chr1	66153191	66153690	1095_1099	2.61573957577398	.	.	29	57	6
chr1	65701483	65702020	chr1	65925119	65925446	1095_1098	2.25869832061824	.	.	29	23	4
chr18	44741865	44742274	chr18	45282830	45283060	13185_13190	2.7685492265079	.	.	26	14	3
chr3	135455696	135456016	chr3	135613877	135614273	20021_20022	3.29133394789726	.	.	14	30	6
chr17	73760711	73761015	chr17	73844506	73844791	12664_12668	3.4820704597128	.	.	24	11	6
chr2	105730818	105731366	chr2	105854509	105854661	15672_15674	2.88287222042225	.	.	35	11	5
chr19	17981148	17981381	chr19	18043214	18043759	13963_13964	3.21815814201589	.	.	40	83	19
chr1	968258	968673	chr1	999245	999513	4_5	2.0898677183691	.	.	25	30	5
chr9	71199335	71199796	chr9	71300679	71301065	28895_28897	2.23458079847566	.	.	60	30	8
chr12	3994711	3995172	chr12	4386015	4386462	6082_6088	2.19499330026023	.	.	39	63	6
chr20	36701900	36702234	chr20	36793685	36793968	17450_17452	2.30055286128984	.	.	38	33	7
chrX	147131403	147131551	chrX	148086517	148086769	30650_30653	2.9129047806096	.	.	28	12	3
chr17	5100354	5100573	chr17	5140760	5141199	11574_11576	3.22477799940794	.	.	21	43	10
chr2	165871624	165871837	chr2	166060441	166060815	16122_16125	3.05782403079738	.	.	18	33	6
chr11	62803219	62803536	chr11	62980249	62980432	5120_5121	3.31066817882777	.	.	14	14	4
chr2	105730818	105731366	chr2	105852101	105852503	15672_15673	3.39284066154419	.	.	35	31	11
chr3	196950934	196951241	chr3	197236979	197237377	20698_20703	2.10831673803741	.	.	19	28	3
chr10	92511204	92511767	chr10	92630992	92631276	3878_3882	2.84382635556987	.	.	46	22	8
chr10	92511204	92511767	chr10	92622747	92623111	3878_3881	2.14121699866678	.	.	46	25	6
chr22	22014517	22014657	chr22	22307203	22307475	18183_18189	3.11735429074791	.	.	6	14	2
chr1	155035599	155035764	chr1	155057164	155057722	1807_1810	4.01383813965872	.	.	111	113	57
