chrom1	start1	stop1	chrom2	start2	stop2	pair_name	Z	strand1	strand2	CA	CB	IAB
chr3	39489349	39489771	chr3	39540120	39540485	36297_36298	2.91006659445632	.	.	83	88	7
chr8	22832888	22833099	chr8	22862101	22862401	52019_52021	2.48739864510383	.	.	124	43	5
chr10	71186950	71187323	chr10	71267371	71267921	6612_6614	3.4439854482495	.	.	44	140	8
chr1	210580506	210581071	chr1	211307424	211307811	4657_4663	2.82831047472688	.	.	109	143	7
chr1	24151668	24152052	chr1	24194560	24195093	764_767	2.353988399659	.	.	44	91	4
chr6	167503416	167503571	chr6	167527454	167527715	48720_48724	1.87604134826248	.	.	71	135	5
chr16	72536626	72536788	chr16	72699566	72699765	20996_21001	1.93122117039051	.	.	224	90	6
chr19	46273203	46273995	chr19	46302226	46302593	27038_27040	2.75526492952844	.	.	164	36	6
chr6	41673600	41674334	chr6	41703203	41703545	46545_46548	3.36745444651824	.	.	83	109	10
chr12	89413345	89413696	chr12	89855438	89856007	12892_12897	2.52501859221961	.	.	97	159	6
chr12	89413345	89413696	chr12	89433939	89434178	12892_12893	3.04159700457765	.	.	97	20	4
chr14	58574646	58575279	chr14	58633150	58633521	16246_16247	2.24088297230386	.	.	80	58	4
chr4	140418992	140419323	chr4	140451851	140452404	41326_41328	3.08644076914012	.	.	68	143	9
chr17	59494283	59494514	chr17	59628450	59628885	23315_23317	2.38185279901633	.	.	43	70	3
chr11	33737791	33738196	chr11	33764010	33764465	8794_8797	3.23554322339719	.	.	68	96	8
chr20	48806878	48807162	chr20	49077227	49077640	33436_33441	2.32875660497768	.	.	115	143	6
chr12	64233237	64233475	chr12	64649713	64650544	12532_12537	3.28548090218553	.	.	49	139	6
chr12	101062739	101063112	chr12	101134726	101135312	13203_13206	3.53943456690355	.	.	50	84	7
chr1	210580506	210581071	chr1	211308608	211309040	4657_4664	2.62630225842253	.	.	109	179	7
chr8	21779476	21779942	chr8	21826620	21826851	51971_51973	2.77399869368711	.	.	141	43	6
chr17	25681592	25681794	chr17	25930227	25930516	22170_22187	2.1698080865431	.	.	158	265	9
chr17	25681592	25681794	chr17	25928650	25929123	22170_22186	2.61568710102607	.	.	158	251	11
chr12	98960372	98960931	chr12	99047606	99048107	13161_13164	3.26035716968312	.	.	76	76	7
chr9	113214536	113214784	chr9	113385653	113386206	55740_55741	2.57920417035543	.	.	33	146	4
chr1	53743849	53744345	chr1	53794310	53794661	1814_1817	2.30604963689246	.	.	122	35	4
chr18	24384324	24384833	chr18	24584355	24584772	24480_24484	2.66463818695969	.	.	78	134	6
chr10	28952722	28953177	chr10	29593315	29593912	6040_6045	3.02641268034481	.	.	93	134	7
chr10	28952722	28953177	chr10	29280440	29281145	6040_6042	4.18136331696736	.	.	93	93	11
